aagis_code,region_name,variable,baseline,value,n_years
111,NSW Far West,daily_rain,1961-1990,356.7660439961209,30
111,NSW Far West,evap_pan,1961-1990,5.474524120762138,21
111,NSW Far West,max_temp,1961-1990,24.722470686962712,30
111,NSW Far West,min_temp,1961-1990,11.154828241804472,30
111,NSW Far West,radiation,1961-1990,18.70632057508617,30
111,NSW Far West,vp,1961-1990,11.486103169746896,30
121,NSW North West Slopes and Plains,daily_rain,1961-1990,557.8093406505274,30
121,NSW North West Slopes and Plains,evap_pan,1961-1990,5.239901988324226,21
121,NSW North West Slopes and Plains,max_temp,1961-1990,25.69900102634787,30
121,NSW North West Slopes and Plains,min_temp,1961-1990,11.526432154162414,30
121,NSW North West Slopes and Plains,radiation,1961-1990,19.138695534141952,30
121,NSW North West Slopes and Plains,vp,1961-1990,12.994583604081985,30
122,NSW Central West,daily_rain,1961-1990,555.4409228295178,30
122,NSW Central West,evap_pan,1961-1990,4.788844673540433,21
122,NSW Central West,max_temp,1961-1990,23.46940644589797,30
122,NSW Central West,min_temp,1961-1990,9.961016182735865,30
122,NSW Central West,radiation,1961-1990,18.307948184735725,30
122,NSW Central West,vp,1961-1990,11.911815918107173,30
123,NSW Riverina,daily_rain,1961-1990,498.1214779068397,30
123,NSW Riverina,evap_pan,1961-1990,4.50621995128241,21
123,NSW Riverina,max_temp,1961-1990,22.54370164014198,30
123,NSW Riverina,min_temp,1961-1990,9.32343890085815,30
123,NSW Riverina,radiation,1961-1990,17.61474784839055,30
123,NSW Riverina,vp,1961-1990,11.514563704289332,30
131,NSW Tablelands (Northern Central and Southern),daily_rain,1961-1990,783.0527432860138,30
131,NSW Tablelands (Northern Central and Southern),evap_pan,1961-1990,3.7472470663989825,21
131,NSW Tablelands (Northern Central and Southern),max_temp,1961-1990,19.68581051281048,30
131,NSW Tablelands (Northern Central and Southern),min_temp,1961-1990,7.096240608524506,30
131,NSW Tablelands (Northern Central and Southern),radiation,1961-1990,17.283364156937886,30
131,NSW Tablelands (Northern Central and Southern),vp,1961-1990,11.183600369720995,30
132,NSW Coastal,daily_rain,1961-1990,1309.9208877193332,30
132,NSW Coastal,evap_pan,1961-1990,4.057070349660132,21
132,NSW Coastal,max_temp,1961-1990,23.40463645113094,30
132,NSW Coastal,min_temp,1961-1990,12.586353515607948,30
132,NSW Coastal,radiation,1961-1990,17.55002172356072,30
132,NSW Coastal,vp,1961-1990,15.70252129309752,30
221,VIC Mallee,daily_rain,1961-1990,336.68543511271616,30
221,VIC Mallee,evap_pan,1961-1990,4.797860374883647,21
221,VIC Mallee,max_temp,1961-1990,23.05590056420506,30
221,VIC Mallee,min_temp,1961-1990,9.602991612096305,30
221,VIC Mallee,radiation,1961-1990,17.553604174136996,30
221,VIC Mallee,vp,1961-1990,11.142904376612167,30
222,VIC Wimmera,daily_rain,1961-1990,457.936743752169,30
222,VIC Wimmera,evap_pan,1961-1990,4.198784905135499,21
222,VIC Wimmera,max_temp,1961-1990,21.218737974611127,30
222,VIC Wimmera,min_temp,1961-1990,8.314509864409944,30
222,VIC Wimmera,radiation,1961-1990,16.38141204615858,30
222,VIC Wimmera,vp,1961-1990,10.995667746009879,30
223,VIC Central North,daily_rain,1961-1990,480.8225625153242,30
223,VIC Central North,evap_pan,1961-1990,4.178595299574066,21
223,VIC Central North,max_temp,1961-1990,21.562644962442718,30
223,VIC Central North,min_temp,1961-1990,8.868485417030055,30
223,VIC Central North,radiation,1961-1990,16.805631183205314,30
223,VIC Central North,vp,1961-1990,11.263244480173245,30
231,VIC Southern and Eastern Victoria,daily_rain,1961-1990,615.0259341532608,30
231,VIC Southern and Eastern Victoria,evap_pan,1961-1990,3.595545350405042,21
231,VIC Southern and Eastern Victoria,max_temp,1961-1990,19.047789034248957,30
231,VIC Southern and Eastern Victoria,min_temp,1961-1990,8.137225031802403,30
231,VIC Southern and Eastern Victoria,radiation,1961-1990,14.895897991103991,30
231,VIC Southern and Eastern Victoria,vp,1961-1990,11.15191337398419,30
311,QLD Cape York and the Gulf,daily_rain,1961-1990,1229.7265787237623,30
311,QLD Cape York and the Gulf,evap_pan,1961-1990,5.598744284531784,21
311,QLD Cape York and the Gulf,max_temp,1961-1990,29.475137107936234,30
311,QLD Cape York and the Gulf,min_temp,1961-1990,20.54649279928423,30
311,QLD Cape York and the Gulf,radiation,1961-1990,19.38711918915863,30
311,QLD Cape York and the Gulf,vp,1961-1990,23.196832478796882,30
312,QLD West and South West,daily_rain,1961-1990,341.74580309334414,30
312,QLD West and South West,evap_pan,1961-1990,6.130643896785404,21
312,QLD West and South West,max_temp,1961-1990,27.76167517796251,30
312,QLD West and South West,min_temp,1961-1990,13.881450607637655,30
312,QLD West and South West,radiation,1961-1990,20.233824800459978,30
312,QLD West and South West,vp,1961-1990,12.094850935043748,30
313,QLD Central North,daily_rain,1961-1990,785.8687354506194,30
313,QLD Central North,evap_pan,1961-1990,5.686685792872365,21
313,QLD Central North,max_temp,1961-1990,30.025292453651,30
313,QLD Central North,min_temp,1961-1990,17.21813668913495,30
313,QLD Central North,radiation,1961-1990,20.251735986950013,30
313,QLD Central North,vp,1961-1990,18.188786601582095,30
314,QLD Charleville - Longreach,daily_rain,1961-1990,528.9433824383838,30
314,QLD Charleville - Longreach,evap_pan,1961-1990,5.979139986349124,21
314,QLD Charleville - Longreach,max_temp,1961-1990,27.63776015701105,30
314,QLD Charleville - Longreach,min_temp,1961-1990,12.468899255298032,30
314,QLD Charleville - Longreach,radiation,1961-1990,20.322743165108932,30
314,QLD Charleville - Longreach,vp,1961-1990,12.87064954328121,30
321,QLD Eastern Darling Downs,daily_rain,1961-1990,681.2887989180215,30
321,QLD Eastern Darling Downs,evap_pan,1961-1990,4.702323374727852,21
321,QLD Eastern Darling Downs,max_temp,1961-1990,24.839299545005016,30
321,QLD Eastern Darling Downs,min_temp,1961-1990,11.299689671137829,30
321,QLD Eastern Darling Downs,radiation,1961-1990,18.737868858532867,30
321,QLD Eastern Darling Downs,vp,1961-1990,14.513153726182003,30
322,QLD Western Downs and Central Highlands,daily_rain,1961-1990,578.0820382472103,30
322,QLD Western Downs and Central Highlands,evap_pan,1961-1990,5.32874252310056,21
322,QLD Western Downs and Central Highlands,max_temp,1961-1990,27.529856369853864,30
322,QLD Western Downs and Central Highlands,min_temp,1961-1990,13.297396320206746,30
322,QLD Western Downs and Central Highlands,radiation,1961-1990,19.672541411013505,30
322,QLD Western Downs and Central Highlands,vp,1961-1990,14.769190165266135,30
331,QLD Southern Coastal - Curtis to Moreton,daily_rain,1961-1990,762.3758937898708,30
331,QLD Southern Coastal - Curtis to Moreton,evap_pan,1961-1990,4.869161699185149,21
331,QLD Southern Coastal - Curtis to Moreton,max_temp,1961-1990,26.557210351415186,30
331,QLD Southern Coastal - Curtis to Moreton,min_temp,1961-1990,13.953871935804196,30
331,QLD Southern Coastal - Curtis to Moreton,radiation,1961-1990,19.11552874681904,30
331,QLD Southern Coastal - Curtis to Moreton,vp,1961-1990,16.86852721965623,30
332,QLD Northern Coastal - Mackay to Cairns,daily_rain,1961-1990,2697.702164894921,30
332,QLD Northern Coastal - Mackay to Cairns,evap_pan,1961-1990,5.276369410294385,21
332,QLD Northern Coastal - Mackay to Cairns,max_temp,1961-1990,28.573081793615298,30
332,QLD Northern Coastal - Mackay to Cairns,min_temp,1961-1990,19.455231734552722,30
332,QLD Northern Coastal - Mackay to Cairns,radiation,1961-1990,18.840014899963798,30
332,QLD Northern Coastal - Mackay to Cairns,vp,1961-1990,23.27018448120632,30
411,SA Northern Pastoral,daily_rain,1961-1990,330.51660556486786,30
411,SA Northern Pastoral,evap_pan,1961-1990,6.037793506448685,21
411,SA Northern Pastoral,max_temp,1961-1990,23.187408269290643,30
411,SA Northern Pastoral,min_temp,1961-1990,10.20616327248496,30
411,SA Northern Pastoral,radiation,1961-1990,18.356392186327938,30
411,SA Northern Pastoral,vp,1961-1990,11.117120399363044,30
421,SA Eyre Peninsula,daily_rain,1961-1990,348.85232717951476,30
421,SA Eyre Peninsula,evap_pan,1961-1990,5.586579970649252,21
421,SA Eyre Peninsula,max_temp,1961-1990,22.96344281914327,30
421,SA Eyre Peninsula,min_temp,1961-1990,10.869723361336499,30
421,SA Eyre Peninsula,radiation,1961-1990,17.548766591508162,30
421,SA Eyre Peninsula,vp,1961-1990,11.948174243103033,30
422,SA Murray Lands and Yorke Peninsula,daily_rain,1961-1990,371.13553246777934,30
422,SA Murray Lands and Yorke Peninsula,evap_pan,1961-1990,4.875698956627838,21
422,SA Murray Lands and Yorke Peninsula,max_temp,1961-1990,22.42976849083465,30
422,SA Murray Lands and Yorke Peninsula,min_temp,1961-1990,9.780150332968685,30
422,SA Murray Lands and Yorke Peninsula,radiation,1961-1990,17.283442896863914,30
422,SA Murray Lands and Yorke Peninsula,vp,1961-1990,11.294002182058374,30
431,SA South East,daily_rain,1961-1990,521.9444796044634,30
431,SA South East,evap_pan,1961-1990,4.257376601823449,21
431,SA South East,max_temp,1961-1990,20.844399436530512,30
431,SA South East,min_temp,1961-1990,9.392126077825132,30
431,SA South East,radiation,1961-1990,15.89485373265017,30
431,SA South East,vp,1961-1990,11.73599427712424,30
512,WA Pilbara and Central Pastoral,daily_rain,1961-1990,285.7235763596897,30
512,WA Pilbara and Central Pastoral,evap_pan,1961-1990,7.0545568307854785,21
