commodity,event,region_years,mean_resid_yield
wheat,Millennium Drought (2001-2009),169,-0.2692857380230222
wheat,2018 drought,36,-0.4337934165778272
wheat,2013/2017 heat,37,0.3656768198166999
wheat,non-event,403,0.11810374786466724
barley,Millennium Drought (2001-2009),166,-0.20959475452296739
barley,2018 drought,35,-0.39280296831955747
barley,2013/2017 heat,34,0.4618191355739597
barley,non-event,407,0.0806854607677353
canola,Millennium Drought (2001-2009),123,-0.13879277018038613
canola,2018 drought,27,-0.3159510531533875
canola,2013/2017 heat,28,0.09253978792927789
canola,non-event,238,0.09668518951809602
